epoch,binary_crossentropy,loss,val_binary_crossentropy,val_loss
0,0.476686209,0.677596331,0.62637794,0.536598027
1,0.589733839,0.632946193,0.800518632,0.45812732
2,0.729196548,0.574633718,0.910872579,0.42491135
3,0.896349192,0.520112216,0.985175133,0.41833511
4,1.063893795,0.473297119,1.078126311,0.412218988
5,1.211572766,0.433060497,1.185222507,0.388379157
6,1.340893388,0.399798512,1.31946218,0.361271292
7,1.423970342,0.376101583,1.393574715,0.337672293
8,1.529081106,0.350386441,1.436684847,0.31728825
9,1.600592375,0.332362086,1.496996164,0.303073406
10,1.673312068,0.315079123,1.518273592,0.292118222
11,1.742875218,0.300471187,1.559786677,0.278271139
12,1.789250374,0.289241701,1.626074433,0.263396442
13,1.8309412,0.279895663,1.669863939,0.257016331
14,1.875172615,0.269119769,1.657541513,0.256521016
15,1.92297399,0.257969677,1.697182655,0.240806028
16,1.973391771,0.249060363,1.759271264,0.233794019
17,2.030283451,0.238982081,1.805186868,0.223941728
18,2.079032898,0.230432391,1.776303053,0.220278829
19,2.119112253,0.224155352,1.827203393,0.218622476
20,2.163071632,0.217335001,1.858261824,0.208217576
21,2.181480646,0.21153146,1.874430656,0.210933566
22,2.227780819,0.205743194,1.918353438,0.2042422
23,2.263458967,0.200965077,1.95028913,0.190603852
24,2.290983915,0.196353227,1.996682525,0.194081277
25,2.325313807,0.191077992,1.977009773,0.188913181
26,2.342090845,0.188744083,2.05393219,0.19090125
27,2.361177444,0.184476048,2.0473876,0.18363212
28,2.385426521,0.180967033,2.036509752,0.191947058
29,2.40440011,0.178095877,2.090684891,0.181284845
30,2.430558205,0.174566686,2.16143465,0.179403737
31,2.458335638,0.170860991,2.119213581,0.173198327
32,2.465022802,0.168157831,2.169023991,0.172381073
33,2.48017025,0.16557917,2.198109627,0.168891162
34,2.495776176,0.164653838,2.212361097,0.169977978
35,2.518691301,0.162021413,2.255007267,0.166297972
36,2.537514448,0.159467876,2.233195543,0.160998791
37,2.576334476,0.155524299,2.288700819,0.162026405
38,2.573627234,0.15514496,2.309519529,0.169515535
39,2.603947401,0.151415318,2.272836685,0.160448119
40,2.623318195,0.148816735,2.276912689,0.154109761
41,2.624622583,0.148141295,2.285665035,0.156651348
42,2.641803503,0.14663139,2.308763981,0.153786197
43,2.635992527,0.145036578,2.300467014,0.1507238
44,2.652207375,0.142757177,2.344182014,0.149592206
45,2.683518171,0.140151188,2.382067442,0.147949472
46,2.684890032,0.138389602,2.352164745,0.152588874
47,2.689958572,0.137313426,2.373001337,0.143623367
48,2.696688175,0.136953875,2.387797832,0.149897262
49,2.712745667,0.135611653,2.3824687,0.141118556
50,2.721063614,0.134180665,2.366489887,0.142490432
51,2.729022026,0.13355574,2.382589817,0.141042039
52,2.746294498,0.130950034,2.390368938,0.138342485
53,2.753724337,0.131374374,2.396996498,0.138787955
